项目名称,建设地点,建设单位,环境影响评价机构,受理日期,url
内蒙古青杉汽车有限公司新能源客车生产项目,包头市青山区,内蒙古青杉汽车有限公司,中冶东方控股有限公司,2016年5月12日,http://www.nmgepb.gov.cn/textweb/ywgl_4766/hpsp_4770/201605/t20160512_1505450.html
内蒙古星光煤炭集团有限责任公司一号井采空区灾害综合治理工程,乌海市海南区和鄂尔多斯市鄂托克旗的交界处,内蒙古星光煤炭集团有限责任公司,内蒙古新创环境科技有限公司,2016年5月12日,http://www.nmgepb.gov.cn/textweb/ywgl_4766/hpsp_4770/201605/t20160512_1505433.html
